Human,Microvessels 1,Microvessels 2,Microvessels 3,Whole brain 1,Whole brain 2,Whole brain 3
ZNF362,7.122114112294114,13.45894323594564,16.899104658042543,4.592038327657825,16.17398028584733,0.9736803854351082
TRIM62,4.446455213583449,0.08093340224129121,6.156064653374805,2.2355363146686202,2.4681002716419798,0.7537092157633413
AZIN2,0.08536650922943972,0.70543540206272,0.0,4.687545514354126,3.4957922764477054,8.850595991891499
LOC105378635,0.0,0.0,0.0,0.0,0.0,0.0
AK2,11.616339086004658,13.332344049337777,19.087374203900964,3.9043369148526343,9.551304277704846,8.01457628392535
RNF19B,5.387183134489701,0.24568196335165646,0.4782554783096454,7.797737815140961,1.6857407860173872,0.41946017811492337
LOC105378632,0.0,0.0,0.0,0.0,0.0,0.0
TMEM54,17.577946342925696,0.21615664421612113,0.935067053167059,4.731468377060203,0.32958967344316353,0.0
HPCA,6.568478626820779,3.928109777202318,0.12873120980491917,43.82883274719354,31.127110509219236,6.189267612193072
LOC105378631,0.0,0.0,0.0,0.0,0.0,0.0
FNDC5,26.477444830931077,22.39978195102208,1.1574930188656394,9.084250038496092,15.445325150634632,2.847817731672944
S100PBP,19.93949594211845,0.4501972295060314,43.980992784868185,2.385390386696994,1.3728965713360526,13.936365866772158
YARS,35.57061467367095,10.183804501350798,51.479635197299835,44.93261724154106,17.939526366422346,7.2446310800701585
KIAA1522,0.5963312808478849,10.59487358015601,26.646581289814478,17.431919981988965,5.6980003564493105,7.967294374768004
SYNC,5.02649395061321,5.5942057363691235,14.14178492733547,2.2959744915880465,31.18741105491028,7.326170096823604
RBBP4,24.04318772992804,9.382783543649134,40.16047685601238,23.076719919598805,9.568705934659466,3.9244956409208958
ZBTB8OS,0.11906607782756698,16.0706188522949,1.1527471476186721,2.1793388846527235,1.8127985227815488,0.06363137555034587
LOC102723870,0.0,0.0,0.0,0.0,0.0,0.0
ZBTB8A,4.332628410199373,7.061175718835259,0.0,1.8400307695999114,0.5054781908126693,8.412788105182555
ZBTB8B,0.2206381225729796,0.0,0.0,0.1900458275362752,0.8340201490213917,0.0
BSDC1,11.104250661678307,42.23299471997343,6.035960453400712,14.63549482952013,5.963805947855155,15.10869654905808
TSSK3,0.0,0.0,0.0,0.0,0.0,0.0
FAM229A,1.522308351280352,0.0,0.0,0.5463477688614379,0.0,0.0
LOC105378629,0.0,0.0,33.336036675808046,0.0,0.0,0.0
MARCKSL1,113.53964335733738,55.20020730561367,50.05781497172181,49.50970602619357,61.51637221230467,14.92677191743347
HDAC1,21.587817300724154,25.20346394149114,50.467615378611455,5.310539951623539,44.584276624046794,19.177357843161854
LCK,0.0,0.20278705517992265,0.0,0.0,0.0,0.0
FAM167B,1.6696028308759925,0.0,0.0,0.0,0.0,0.0
MTMR9LP,2.13673401113447,0.21020396554579765,18.8683173228353,0.24649123737143605,0.0,0.0
EIF3I,43.15890933068432,22.91102732337626,76.25985886186065,18.90579655614579,5.337154300284682,26.868025029671
DCDC2B,0.0,0.0,0.0,0.0,0.0,0.0
IQCC,1.0828106938239226,18.108892871311323,0.0,5.745944012201483,0.0,5.125419887221012
