Mouse,Microvessels 1,Microvessels 2,Microvessels 3,Whole brain 1,Whole brain 2,Whole brain 3
Akr1e1,19.812338595640327,12.53479544570296,13.400221331216661,13.347999684027059,12.320102207854061,14.629157287699826
Akr1c21,0.0,0.0,0.0,0.0,0.0,0.0
Gm40657,0.0,0.0,0.0,0.0,0.0,0.0
Akr1c20,0.0,0.0,0.0,0.0,0.0,0.0
Akr1c6,0.0,0.0,0.0,0.0,0.0,0.0
LOC102638797,0.0,0.0,0.0,0.0,0.0,0.0
Akr1c12,0.0,0.0,0.0,0.0,0.0,0.0
Gm40656,0.0,0.0,0.0,0.0,0.0,0.0
Marcksl1-ps4,0.0,0.0,0.10682345517212766,0.0,0.0,0.0
Akr1c19,0.0,0.0,0.0,0.0,0.0,0.0
n-TKctt6,0.0,0.0,0.0,0.0,0.0,0.0
Akr1c13,0.0,1.913080283430201,3.2746175007352654,0.0,0.0,0.0
Akr1c18,0.0,0.0,0.0,2.9118185160144754,1.851173146822783,0.7172823243775303
Akr1c14,1.051339030925909,33.787259785411294,11.984717858818472,0.0,1.8231594836602296,1.4128554904712414
Ucn3,15.826635838014893,0.0,0.0,0.0,0.0,0.0
Tubal3,0.0,0.0,0.0,0.0,0.11150752795550484,0.0
Net1,76.8337043219195,46.183752965295255,105.87722976283337,16.203413624409965,9.392140606291443,12.901705599261199
Calm5,0.0,0.0,0.0,0.0,0.0,0.0
Calm4,0.0,0.0,0.0,0.0,0.0,0.0
Gm40655,0.0,0.0,0.0,0.0,0.0,0.0
Calml3,0.0,0.0,0.0,0.0,0.0,0.0
Gm35190,0.0,0.26867482083812844,0.0,0.0,0.0,0.0
Asb13,12.109752483889464,10.565110828919755,3.4845337433958044,14.315173024257389,13.42098602900088,10.00021045827533
Fam208b,2.846212447020647,4.240278527195209,2.3610414707378418,2.422944107220549,3.6927865063400303,4.1706330898930215
Gdi2,106.28219981668967,131.44196571146796,108.38313340012384,90.22836069989502,84.57752413948765,104.24659180936985
Gm40654,0.0,0.0,0.0,0.0,0.0,0.0
1700024F13Rik,0.0,0.0,3.997017533436023,0.14972579514334522,0.0,0.0
2810429I04Rik,0.0,0.0,0.7618247093643019,0.0,0.0,4.059695343613679
Gm16505,0.0,0.0,1.5896050599089762,0.0,0.0,0.0
Gm40653,0.0,0.0,0.0,0.0,0.0,0.0
Gm35043,0.0,0.0,0.0,0.0,1.952387008197355,0.0
Gm40648,0.0,0.0,0.0,0.0,0.0,0.0
Gm40644,0.0,0.0,0.0,0.0,0.0,0.0
Speer6-ps1,0.0,0.0,0.0,0.0,0.0,0.0
