Human,Microvessels 1,Microvessels 2,Microvessels 3,Whole brain 1,Whole brain 2,Whole brain 3
ING4,1.4717470692335302,0.1508739470470083,0.24025688919130042,5.193505711126951,2.2882077870583384,13.321993930905633
ACRBP,0.0,0.0,0.0,0.489486817407706,0.0,0.0
LPAR5,1.5743591936637942,8.460721603100518,0.46582684183443407,4.299705846500238,4.675427578875176,2.7162591579079916
LOC105369631,0.0,0.0,0.0,0.0,0.0,0.0
SCARNA11,0.0,0.0,0.0,0.0,0.0,0.0
CHD4,21.063698196243507,39.7952062387754,33.65417179317999,21.675926169540283,22.513068202696015,26.793737067704356
NOP2,5.605097358908826,4.981370845423582,8.774897286381362,2.8181370185982875,1.5377278295249812,0.0
IFFO1,1.4714609624207193,20.35550790485203,1.0392964789218844,4.733580625168009,9.657496143524032,8.727318843457862
GAPDH,238.67838411535624,190.37955644473845,327.83179515823764,261.5329100265224,306.2754633562164,208.31176025691428
SCARNA10,0.0,0.0,0.0,0.0,0.0,0.0
NCAPD2,7.689105994983357,6.9725047875313715,25.341552805375034,2.0553353875678297,6.904688422615081,2.7301723753390545
MRPL51,21.154836750673823,69.29660444966926,46.05657137719022,23.590661714941135,19.87141156877804,9.256788508303618
VAMP1,3.2616436090551497,0.43008726172489925,2.085788646613615,13.266651070388008,3.7951161821416246,8.070125577272712
TAPBPL,2.7189994185554918,5.398483276180924,1.907830765631226,0.06084174896513181,4.2907917462154135,0.0
CD27,0.0,0.0,4.472243999692738,0.0,0.0,0.0
CD27-AS1,3.7770891366924233,15.342425285242218,1.9474629909829524,5.662434854335252,0.7166136358496787,13.047644573143296
LOC105369628,0.0,0.0,5.574927725737838,0.0,0.0,0.0
LTBR,3.0847298618182464,5.844977037515924,11.91551646745206,0.6371586839477301,2.7893235376635412,0.0
LOC105369626,0.0,0.0,0.0,0.0,0.0,0.0
LOC107984500,0.0,0.0,0.0,0.0,0.0,0.0
SCNN1A,0.0,0.0,0.0,0.0,0.0,0.0
TNFRSF1A,14.932963973904148,17.946544112711162,23.267195977175028,6.345253237085931,7.879000470011118,7.3901483727848465
PLEKHG6,0.0,0.0,0.0,0.0,0.0,0.0
LOC105369624,0.0,0.0,0.0,0.0,0.0,0.0
LOC105369625,0.0,0.0,0.0,0.0,0.0,0.0
CD9,22.738569785005765,9.411108337110415,45.91922909127747,12.416463685167141,13.620481911161688,77.35210213291404
LOC105369622,0.0,0.0,0.0,0.0,0.0,0.0
LOC105369623,0.0,0.0,0.0,0.0,0.0,0.0
VWF,41.31230119046228,53.72128242396611,259.74466427102067,5.0660611761824255,2.221241850859804,13.117973260041712
LOC105369621,0.0,0.0,0.0,0.0,0.0,0.0
ANO2,0.5733485567479496,0.43360166440555037,0.5595287446139644,0.0,0.3514842328954499,0.0
NTF3,0.0,0.0,0.0,0.0,0.0,0.0
LOC105369620,0.0,0.0,0.0,0.0,0.0,0.0
LOC105369618,0.0,0.0,0.0,0.0,0.0,0.0
LOC101929584,0.0,0.0,0.0,0.0,0.0,0.0
LOC105369616,0.0,0.0,0.0,0.0,0.0,0.0
LOC105369617,0.0,0.0,0.0,0.12663540982591678,0.0,0.0
KCNA5,0.030803597195780488,0.41209089578449404,0.0,0.35382904229757034,0.5555481484398084,0.10235484244536502
LOC100507560,0.0,0.0,0.0,0.13481885909177563,0.09095605068126199,3.0923818195538635
KCNA1,0.542641848132608,0.01646138142026108,0.0,10.477188484199246,0.29959097820786357,0.5397039335254372
KCNA6,0.3153955340986346,0.014206617067885861,0.20360797344547074,2.4850795921092157,0.16159694452928208,0.9421440506601655
LOC105369614,0.0,0.0,0.0,0.03729988434872459,0.0,0.0
GALNT8,0.04140811426318033,0.0,0.0,0.0,0.0,0.0
LOC101929549,0.0,0.0,0.0,0.0,0.0,0.0
NDUFA9,22.802128303315317,14.864412575379644,33.88017837259461,19.909305889243875,25.95025306647462,17.34434294141005
AKAP3,0.0,0.0,0.0,0.101698941077492,0.1921124053662171,3.3709537985196647
DYRK4,0.7111294796861352,0.7207196044494197,0.03825662714545205,2.7003206950813414,3.5706917785690244,0.03580236414603262
RAD51AP1,2.3377608801733802,0.0,0.0,0.0,0.0,0.0
C12orf4,2.039249563916619,0.8083290467008872,0.16090138987251304,3.5693826059544,0.7005374279535369,7.012685829579118
FGF6,0.0,0.0,0.0,0.0,0.0,0.0
