Gene,59yo tumor periphery astro,59yo tumor core astro,64yo tumor core astro,65yo tumor core astro,21yo Hippocampus astro,22yo Hippocampus astro,53yo A Hippocampus astro,53yo B Hippocampus astro,Fetal ctx 1 astro,Fetal ctx 2 astro,Fetal ctx 3 astro,Fetal ctx 4 astro,Fetal ctx 5 astro,Fetal ctx 6 astro,8yo ctx astro,13yo ctx astro,16yo ctx astro,21yo ctx astro,22yo ctx astro,35yo ctx astro,47yo ctx astro,51yo ctx astro,53yo ctx astro,60yo ctx astro,63yo ctx 1 astro,63yo ctx 2 astro,25yo ctx neuron,22yo ctx oligo,63yo ctx A oligo,63yo ctx B oligo ,47yo ctx oligo,63yo ctx 3 oligo,45yo ctx myeloid,51yo ctx myeloid,63 yo ctx myeloid,47 yo ctx endo,13yo ctx endo,45yo whole cortex,63yo whole cortex,25yo whole cortex,53yo whole cortex,Mouse 1 month astro,Mouse 4 month astro,Mouse 7 month astro,Mouse 9 month astro
Gpr143,2.5,0.1,0.1,0.1,1.4,1.1,0.7,0.4,0.1,0.1,0.3,0.1,0.1,2.4,5.0,8.2,7.9,3.7,9.4,1.973571108789488,3.8,4.1,7.3,5.4,7.5,3.3,0.3,0.1,0.1,0.1,0.4,0.1,0.1,0.1,0.1,0.2,0.5,0.3,0.1,0.2,0.1,0.1,0.1,0.1,0.1
Gpr149,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,1.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.2,0.3,0.1,0.1,0.1,0.1
Gpr15,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4
Gpr150,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Gpr151,0.1,0.2,0.2,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Gpr152,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Gpr153,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,1.1,0.8,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.8,0.7,1.7,0.7
Gpr156,0.1,0.2,0.2,0.3,0.1,0.1,0.1,0.1,2.2,3.9,1.8,0.1,1.0,3.6,0.1,0.2,0.1,0.1,0.2,0.3,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,0.4,0.1
Gpr157,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1
Gpr158,0.1,1.4,1.0,4.6,0.1,1.3,1.3,0.6,0.3,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,9.3,0.4,0.2,0.3,1.0,0.3,0.1,0.1,0.1,0.1,0.3,2.1,1.5,1.7,1.1,0.8,1.1,1.2,0.9
Gpr160,0.1,0.3,0.1,0.5,0.2,0.2,0.4,0.4,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.3,0.3,0.2,0.1,0.4,0.2,1.7,2.0,2.1,0.1,0.1,0.4,0.2,0.2,0.4,0.1,0.1,0.1,0.4
Gpr161,0.1,0.6,0.2,0.2,0.1,0.1,0.1,0.2,0.9,3.8,1.5,3.4,1.6,0.1,0.7,0.7,0.3,0.3,0.2,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2
Gpr162,0.1,0.2,0.2,0.2,0.3,1.6,1.3,0.7,1.0,0.1,0.8,7.2,0.1,0.1,1.4,0.5,0.9,0.2,0.6,0.8,0.4,0.2,0.1,0.1,0.5,0.2,2.1,0.4,0.1,0.3,0.9,0.3,0.1,0.1,0.3,0.8,0.4,0.5,0.1,0.9,0.1,0.7,0.7,2.0,0.7
Gpr17,0.4,0.1,0.1,0.1,9.8,3.4,2.147727610277467,5.0,0.1,1.5,1.7,2.0,3.8,0.1,1.2,0.2,0.3,1.8,0.9,0.2,0.4,0.5,0.9,0.1,0.1,0.5,0.1,5.3,0.8,1.7,1.7907147628589037,0.5,0.1,0.4,0.2,0.1,0.8,0.3,0.1,1.3,0.1,0.8,2.2,0.8,1.9
Gpr171,0.1,0.4,0.1,0.6,0.1,0.1,0.1,0.3,0.1,0.1,0.6,0.1,2.5,0.1,0.8,1.0,1.0,0.8,0.3,1.7,0.3,0.3,1.4,1.5,0.5,0.3,0.6,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.3,0.3,0.4,0.5,0.8,0.7,0.1,0.2,0.2
Gpr172b,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.3,0.8,0.3
Gpr173,0.1,1.2,1.1,0.8,0.9,0.5,2.6,0.9,1.7,2.3,3.4,1.0,2.0,2.6,2.4,1.2,1.6,1.5,1.3,1.3,0.6,0.5,1.1,0.7,0.6,0.8,0.6,0.6,0.4,0.5,1.9,0.3,0.1,0.1,0.1,0.5,0.1,0.3,0.1,0.2,0.2,1.0,0.8,2.0,1.1
Gpr174,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Gpr176,0.1,0.4,0.1,0.8,0.1,0.1,0.3,0.3,0.1,0.1,0.1,1.6,1.5,0.1,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.2,0.1,0.1,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2
Gpr179,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.5,0.1,0.1,0.3,0.2,0.5,0.1,0.2,0.3,0.3,0.1,0.2,0.2,0.2,0.2,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1
